"id","game_id","timestamp","player_count","on_sale","discount_percent","original_price","final_price","estimated_owners","id","name"
"65","1172470","1744655437","97516","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"66","2767030","1744655438","163474","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"67","3240220","1744655439","38645","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"68","250900","1744655440","22470","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"69","3164500","1744655440","251812","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"70","1174180","1744655441","42590","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"71","2495100","1744655442","1817","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"72","1245620","1744655443","38046","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"73","1151340","1744655443","10276","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"74","2933620","1744655444","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"75","1144200","1744655445","9400","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"76","1449850","1744655446","17142","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"77","281990","1744655446","13961","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"78","2379780","1744655447","20704","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"79","39210","1744655448","23410","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"80","730","1744657276","1202073","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"81","570","1744657276","510983","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"82","440","1744657277","46962","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"83","578080","1744657278","234941","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"84","1172470","1744657278","96130","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"85","2767030","1744657278","169716","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"86","3240220","1744657279","37239","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"87","250900","1744657280","22502","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"88","3164500","1744657281","262205","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"89","1174180","1744657282","42232","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"90","2495100","1744657282","1849","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"91","1245620","1744657283","38192","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"92","1151340","1744657284","10326","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"93","2933620","1744657284","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"94","1144200","1744657285","9758","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"95","1449850","1744657285","16334","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"96","281990","1744657286","14067","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"97","2379780","1744657287","20825","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"98","39210","1744657287","23909","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"99","730","1744661006","1131255","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"100","570","1744661006","468111","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"101","440","1744661007","43156","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"102","578080","1744661007","199618","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"103","1172470","1744661008","90996","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"104","2767030","1744661008","179289","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"105","3240220","1744661009","33659","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"106","250900","1744661009","21721","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"107","3164500","1744661010","268574","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"108","1174180","1744661010","39571","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"109","2495100","1744661011","1841","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"110","1245620","1744661011","37404","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"111","1151340","1744661012","10090","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"112","2933620","1744661012","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"113","1144200","1744661013","9796","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"114","1449850","1744661013","14400","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
